title	datasetIdentifier	disease	authors	created	modified	curated	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Philippines Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/south_eastern_asia/phl/diags/ipums_diags_phl.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/south_eastern_asia/phl/	null	SPEW.IPUMS format	Philippines	5163	PH	null	PHL
Portugal Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/southern_europe/prt/diags/ipums_diags_prt.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/southern_europe/prt/	null	SPEW.IPUMS format	Portugal	5053	PT	null	PRT
Paraguay Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/south_america/pry/diags/ipums_diags_pry.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/south_america/pry/	null	SPEW.IPUMS format	Paraguay	4979	PY	null	PRY
Romania Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/eastern_europe/rou/diags/ipums_diags_rou.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/eastern_europe/rou/	null	SPEW.IPUMS format	Romania	5026	RO	null	ROU
Rwanda Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/eastern_africa/rwa/diags/ipums_diags_rwa.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/eastern_africa/rwa/	null	SPEW.IPUMS format	Rwanda	5078	RW	null	RWA
Sudan (the) Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/northern_africa/sdn/diags/ipums_diags_sdn.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/northern_africa/sdn/	null	SPEW.IPUMS format	Sudan (the)	1421	SD	null	SDN
Senegal Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/western_africa/sen/diags/ipums_diags_sen.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/western_africa/sen/	null	SPEW.IPUMS format	Senegal	5083	SN	null	SEN
El Salvador Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/central_america/slv/diags/ipums_diags_slv.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/central_america/slv/	null	SPEW.IPUMS format	El Salvador	5165	SV	null	SLV
South Sudan Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/eastern_africa/ssd/diags/ipums_diags_ssd.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/eastern_africa/ssd/	null	SPEW.IPUMS format	South Sudan	1365	SS	null	SSD
Slovenia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/southern_europe/svn/diags/ipums_diags_svn.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/southern_europe/svn/	null	SPEW.IPUMS format	Slovenia	5084	SI	null	SVN
Thailand Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/south_eastern_asia/tha/diags/ipums_diags_tha.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/south_eastern_asia/tha/	null	SPEW.IPUMS format	Thailand	4975	TH	null	THA
Turkey Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/western_asia/tur/diags/ipums_diags_tur.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/western_asia/tur/	null	SPEW.IPUMS format	Turkey	5100	TR	null	TUR
Tanzania, United Republic of Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/eastern_africa/tza/diags/ipums_diags_tza.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/eastern_africa/tza/	null	SPEW.IPUMS format	Tanzania, United Republic of	5114	TZ	null	TZA
Uganda Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/eastern_africa/uga/diags/ipums_diags_uga.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/eastern_africa/uga/	null	SPEW.IPUMS format	Uganda	39	UG	null	UGA
Ukraine Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/eastern_europe/ukr/diags/ipums_diags_ukr.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/eastern_europe/ukr/	null	SPEW.IPUMS format	Ukraine	4958	UA	null	UKR
Uruguay Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/south_america/ury/diags/ipums_diags_ury.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/south_america/ury/	null	SPEW.IPUMS format	Uruguay	5098	UY	null	URY
