title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus	population_required	iri
Maryland Synthetic Ecosystem	"Maryland synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573998	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000021	https://zenodo.org/record/573998/files/24.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Maryland	1587	US-MD	null	null	FALSE	TRUE	humans in region of Maryland	http://www.pitt.edu/obc/IDE_0000001143
Massachusetts Synthetic Ecosystem	"Massachusetts synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573999	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000022	https://zenodo.org/record/573999/files/25.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Massachusetts	1609	US-MA	null	null	FALSE	TRUE	humans in region of Massachusetts	http://www.pitt.edu/obc/IDE_0000001139
Mexico Synthetic Ecosystem	Mexico synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574068	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000091	https://zenodo.org/record/574068/files/mex.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Mexico	5178	MX	484	MEX	FALSE	TRUE	humans in region of Mexico	http://www.pitt.edu/obc/IDE_0000000944
Michigan Synthetic Ecosystem	"Michigan synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574000	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000023	https://zenodo.org/record/574000/files/26.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Michigan	1619	US-MI	null	null	FALSE	TRUE	humans in region of Michigan	http://www.pitt.edu/obc/IDE_0000001140
Minnesota Synthetic Ecosystem	"Minnesota synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574001	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000024	https://zenodo.org/record/574001/files/27.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Minnesota	1588	US-MN	null	null	FALSE	TRUE	humans in region of Minnesota	http://www.pitt.edu/obc/IDE_0000001094
Mississippi Synthetic Ecosystem	"Mississippi synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574002	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000025	https://zenodo.org/record/574002/files/28.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Mississippi	1620	US-MS	null	null	FALSE	TRUE	humans in region of Mississippi	http://www.pitt.edu/obc/IDE_0000001137
Missouri Synthetic Ecosystem	"Missouri synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574003	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000026	https://zenodo.org/record/574003/files/29.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Missouri	1589	US-MO	null	null	FALSE	TRUE	humans in region of Missouri	http://www.pitt.edu/obc/IDE_0000001115
Mongolia Synthetic Ecosystem	Mongolia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574070	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000093	https://zenodo.org/record/574070/files/mng.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Mongolia	5020	MN	496	MNG	FALSE	TRUE	humans in region of Mongolia	http://www.pitt.edu/obc/IDE_0000000866
Montana Synthetic Ecosystem	"Montana synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574004	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000027	https://zenodo.org/record/574004/files/30.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Montana	1590	US-MT	null	null	FALSE	TRUE	humans in region of Montana	http://www.pitt.edu/obc/IDE_0000001105
Morocco Synthetic Ecosystem	Morocco synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574067	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000090	https://zenodo.org/record/574067/files/mar.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Morocco	5049	MA	504	MAR	FALSE	TRUE	humans in region of Morocco	http://www.pitt.edu/obc/IDE_0000000839
