title	datasetIdentifier	disease	authors	created	modified	curated	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Rhode Island Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000040	https://zenodo.org/api/files/a5fde61e-c191-4c4e-9bbf-0a5d88d0cc86/44.tar.gz	null	SPEW.US format	Rhode Island	1625	US-RI	null	null
South Carolina Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000041	https://zenodo.org/api/files/9ed68289-9220-4336-aeff-5f4450ea9c2c/45.tar.gz	null	SPEW.US format	South Carolina	1597	US-SC	null	null
South Dakota Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000042	https://zenodo.org/api/files/1c91a78a-4da5-467c-84dc-90299a30d3f7/46.tar.gz	null	SPEW.US format	South Dakota	1598	US-SD	null	null
Tennessee Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000043	https://zenodo.org/api/files/29e548ac-df36-424c-9cf8-1bda8d195bf3/47.tar.gz	null	SPEW.US format	Tennessee	1606	US-TN	null	null
Texas Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000044	https://zenodo.org/api/files/94361b9a-e78f-4728-b12e-8465c1690f3c/48.tar.gz	null	SPEW.US format	Texas	1626	US-TX	null	null
Utah Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000045	https://zenodo.org/api/files/44817656-91ff-44da-a5be-55cd2dabc9ce/49.tar.gz	null	SPEW.US format	Utah	1599	US-UT	null	null
Vermont Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000046	https://zenodo.org/api/files/39da6d19-b23f-4b7c-85fb-647a00bf9ef1/50.tar.gz	null	SPEW.US format	Vermont	1600	US-VT	null	null
Virginia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000047	https://zenodo.org/api/files/bda3cbb9-b845-472c-bca5-e8dfb6fe2bd7/51.tar.gz	null	SPEW.US format	Virginia	1610	US-VA	null	null
Washington Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000048	https://zenodo.org/api/files/63cd3abd-3080-4d51-a6bb-8cf40f7739c1/53.tar.gz	null	SPEW.US format	Washington	1627	US-WA	null	null
West Virginia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000049	https://zenodo.org/api/files/926e25a1-84c0-4b02-b249-6325130262b0/54.tar.gz	null	SPEW.US format	West Virginia	1601	US-WV	null	null
