title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Michigan Synthetic Ecosystem	Michigan synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574000	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000023	https://zenodo.org/record/574000/files/26.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Michigan		US-MI	null	null
Minnesota Synthetic Ecosystem	Minnesota synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574001	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000024	https://zenodo.org/record/574001/files/27.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Minnesota		US-MN	null	null
Mississippi Synthetic Ecosystem	Mississippi synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574002	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000025	https://zenodo.org/record/574002/files/28.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Mississippi		US-MS	null	null
Missouri Synthetic Ecosystem	Missouri synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574003	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000026	https://zenodo.org/record/574003/files/29.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Missouri		US-MO	null	null
Montana Synthetic Ecosystem	Montana synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574004	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000027	https://zenodo.org/record/574004/files/30.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Montana		US-MT	null	null
Nebraska Synthetic Ecosystem	Nebraska synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574005	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000028	https://zenodo.org/record/574005/files/31.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Nebraska		US-NE	null	null
Nevada Synthetic Ecosystem	Nevada synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574006	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000029	https://zenodo.org/record/574006/files/32.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Nevada		US-NV	null	null
New Hampshire Synthetic Ecosystem	New Hampshire synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574007	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000030	https://zenodo.org/record/574007/files/33.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	New Hampshire		US-NH	null	null
New Jersey Synthetic Ecosystem	New Jersey synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574008	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000031	https://zenodo.org/record/574008/files/34.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	New Jersey		US-NJ	null	null
New Mexico Synthetic Ecosystem	New Mexico synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574009	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000032	https://zenodo.org/record/574009/files/35.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	New Mexico		US-NM	null	null
