title	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Hungary Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574056	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000079	https://zenodo.org/record/574056/files/hun.tar.gz	null	SPEW.IPUMS format	Hungary	5082	HU	null	HUN
Indonesia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574057	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000080	https://zenodo.org/record/574057/files/idn.tar.gz	null	SPEW.IPUMS format	Indonesia	4973	ID	null	IDN
India Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574058	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000081	https://zenodo.org/record/574058/files/ind.tar.gz	null	SPEW.IPUMS format	India	5180	IN	null	IND
Iraq Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574059	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000082	https://zenodo.org/record/574059/files/irq.tar.gz	null	SPEW.IPUMS format	Iraq	4994	IQ	null	IRQ
Israel Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574060	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000083	https://zenodo.org/record/574060/files/isr.tar.gz	null	SPEW.IPUMS format	Israel	5188	IL	null	ISR
Italy Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574061	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000084	https://zenodo.org/record/574061/files/ita.tar.gz	null	SPEW.IPUMS format	Italy	5195	IT	null	ITA
Jamaica Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574062	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000085	https://zenodo.org/record/574062/files/jam.tar.gz	null	SPEW.IPUMS format	Jamaica	4999	JM	null	JAM
Jordan Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574063	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000086	https://zenodo.org/record/574063/files/jor.tar.gz	null	SPEW.IPUMS format	Jordan	4993	JO	null	JOR
Kenya Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574064	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000087	https://zenodo.org/record/574064/files/ken.tar.gz	null	SPEW.IPUMS format	Kenya	5190	KE	null	KEN
Cambodia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574065	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000088	https://zenodo.org/record/574065/files/khm.tar.gz	null	SPEW.IPUMS format	Cambodia	5140	KH	null	KHM
Liberia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574066	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000089	https://zenodo.org/record/574066/files/lbr.tar.gz	null	SPEW.IPUMS format	Liberia	1130	LR	null	LBR
